Year,Typhoon Number,Typhoon Name,Cyclogenesis Start,Cyclogenesis End,Typhoon Start,Typhoon End,Cyclolysis Start,Cyclolysis End
1951,195101,NO-NAME,1951-02-19 06:00:00,1951-02-20 00:00:00,1951-02-20 06:00:00,1951-02-21 06:00:00,1951-02-21 12:00:00,1951-02-21 12:00:00
1951,195102,GEORGIA,1951-03-18 06:00:00,1951-03-20 18:00:00,1951-03-21 00:00:00,1951-03-25 06:00:00,1951-03-25 12:00:00,1951-03-27 06:00:00
1951,195103,HOPE,1951-04-15 00:00:00,1951-04-17 18:00:00,1951-04-18 00:00:00,1951-04-22 18:00:00,1951-04-23 00:00:00,1951-04-23 18:00:00
1951,195104,IRIS,1951-04-28 12:00:00,1951-04-29 18:00:00,1951-04-30 00:00:00,1951-05-11 12:00:00,1951-05-11 18:00:00,1951-05-14 18:00:00
1951,195105,JOAN,1951-05-06 00:00:00,1951-05-08 00:00:00,1951-05-08 06:00:00,1951-05-11 12:00:00,1951-05-11 18:00:00,1951-05-17 00:00:00
1951,195106,KATE,1951-06-26 06:00:00,1951-06-29 06:00:00,1951-06-29 12:00:00,1951-07-02 12:00:00,1951-07-02 18:00:00,1951-07-03 06:00:00
1951,195107,NO-NAME,1951-07-01 18:00:00,1951-07-02 18:00:00,1951-07-03 00:00:00,1951-07-05 00:00:00,1951-07-05 06:00:00,1951-07-10 00:00:00
1951,195108,NO-NAME,1951-07-22 00:00:00,1951-07-24 12:00:00,1951-07-24 18:00:00,1951-07-25 00:00:00,1951-07-25 06:00:00,1951-07-26 00:00:00
1951,195109,LOUISE,1951-07-26 06:00:00,1951-07-26 06:00:00,1951-07-26 12:00:00,1951-08-02 12:00:00,1951-08-02 18:00:00,1951-08-05 00:00:00
1951,195110,NO-NAME,1951-08-09 00:00:00,1951-08-10 00:00:00,1951-08-10 06:00:00,1951-08-11 00:00:00,1951-08-11 06:00:00,1951-08-19 06:00:00
1951,195111,MARGE,1951-08-10 12:00:00,1951-08-11 00:00:00,1951-08-11 06:00:00,1951-08-24 12:00:00,,
1951,195112,NORA,1951-08-27 00:00:00,1951-08-30 06:00:00,1951-08-30 12:00:00,1951-09-04 00:00:00,,
1951,195113,ORA,1951-09-11 18:00:00,1951-09-16 00:00:00,1951-09-16 06:00:00,1951-09-21 18:00:00,,
1951,195114,PAT,1951-09-20 00:00:00,1951-09-25 00:00:00,1951-09-25 06:00:00,1951-09-28 12:00:00,1951-09-28 18:00:00,1951-10-03 12:00:00
1951,195115,RUTH,1951-10-08 00:00:00,1951-10-09 00:00:00,1951-10-09 06:00:00,1951-10-16 00:00:00,1951-10-16 06:00:00,1951-10-20 06:00:00
1951,195116,SARAH,1951-10-22 00:00:00,1951-10-23 00:00:00,1951-10-23 06:00:00,1951-10-28 00:00:00,1951-10-28 06:00:00,1951-10-28 12:00:00
1951,195117,THELMA,1951-10-27 06:00:00,1951-10-27 06:00:00,1951-10-27 12:00:00,1951-11-02 00:00:00,,
1951,195118,VERA,1951-10-28 06:00:00,1951-10-31 00:00:00,1951-10-31 06:00:00,1951-11-01 18:00:00,1951-11-02 00:00:00,1951-11-03 00:00:00
1951,195119,WANDA,1951-11-16 12:00:00,1951-11-18 00:00:00,1951-11-18 06:00:00,1951-11-26 00:00:00,,
1951,195120,AMY,1951-12-03 00:00:00,1951-12-03 00:00:00,1951-12-03 06:00:00,1951-12-17 12:00:00,1951-12-17 18:00:00,1951-12-17 18:00:00
1951,195121,BABS,1951-12-10 00:00:00,1951-12-11 06:00:00,1951-12-11 12:00:00,1951-12-16 06:00:00,,
1952,195201,CHARLOTTE,1952-06-09 06:00:00,1952-06-09 18:00:00,1952-06-10 00:00:00,1952-06-16 00:00:00,1952-06-16 06:00:00,1952-06-17 18:00:00
1952,195202,DINAH,1952-06-19 00:00:00,1952-06-20 06:00:00,1952-06-20 12:00:00,1952-06-24 18:00:00,1952-06-25 00:00:00,1952-06-26 18:00:00
1952,195203,EMMA,1952-06-28 00:00:00,1952-06-29 00:00:00,1952-06-29 06:00:00,1952-07-06 12:00:00,,
1952,195204,FREDA,1952-07-10 18:00:00,1952-07-14 00:00:00,1952-07-14 06:00:00,1952-07-15 12:00:00,1952-07-15 18:00:00,1952-07-16 06:00:00
1952,195205,GILDA,1952-07-15 18:00:00,1952-07-16 06:00:00,1952-07-16 12:00:00,1952-07-20 06:00:00,1952-07-20 12:00:00,1952-07-21 00:00:00
1952,195206,HARRIET,1952-07-24 00:00:00,1952-07-27 06:00:00,1952-07-27 12:00:00,1952-07-30 06:00:00,,
1952,195207,IVY,1952-08-05 00:00:00,1952-08-05 00:00:00,1952-08-05 06:00:00,1952-08-09 00:00:00,1952-08-09 06:00:00,1952-08-14 18:00:00
1952,195208,JEANNE,1952-08-04 06:00:00,1952-08-04 18:00:00,1952-08-05 00:00:00,1952-08-07 06:00:00,,
1952,195209,KAREN,1952-08-12 00:00:00,1952-08-13 00:00:00,1952-08-13 06:00:00,1952-08-20 00:00:00,1952-08-20 06:00:00,1952-08-28 00:00:00
1952,195210,LOIS,1952-08-22 06:00:00,1952-08-26 06:00:00,1952-08-26 12:00:00,1952-08-30 00:00:00,,
1952,195211,MARY,1952-08-28 00:00:00,1952-08-30 00:00:00,1952-08-30 06:00:00,1952-09-05 00:00:00,,
1952,195212,NONA,1952-09-01 00:00:00,1952-09-01 18:00:00,1952-09-02 00:00:00,1952-09-08 00:00:00,,
1952,195213,OLIVE,1952-09-15 00:00:00,1952-09-15 00:00:00,1952-09-15 06:00:00,1952-09-21 00:00:00,1952-09-21 06:00:00,1952-09-21 06:00:00
1952,195214,POLLY,1952-09-24 12:00:00,1952-09-28 06:00:00,1952-09-28 12:00:00,1952-10-02 12:00:00,1952-10-02 18:00:00,1952-10-06 00:00:00
1952,195215,ROSE,1952-10-04 00:00:00,1952-10-05 18:00:00,1952-10-06 00:00:00,1952-10-10 06:00:00,1952-10-10 12:00:00,1952-10-12 00:00:00
1952,195216,SHIRLEY,1952-10-14 06:00:00,1952-10-15 06:00:00,1952-10-15 12:00:00,1952-10-16 06:00:00,1952-10-16 12:00:00,1952-10-16 12:00:00
1952,195217,TRIX,1952-10-16 00:00:00,1952-10-16 06:00:00,1952-10-16 12:00:00,1952-10-25 12:00:00,,
1952,195218,VAE,1952-10-15 06:00:00,1952-10-19 12:00:00,1952-10-19 18:00:00,1952-10-22 06:00:00,1952-10-22 12:00:00,1952-10-22 12:00:00
1952,195219,WILMA,1952-10-21 12:00:00,1952-10-23 00:00:00,1952-10-23 06:00:00,1952-10-30 12:00:00,1952-10-30 18:00:00,1952-10-31 00:00:00
1952,195220,AGNES,1952-10-29 18:00:00,1952-10-31 00:00:00,1952-10-31 06:00:00,1952-11-07 18:00:00,,
1952,195221,BESS,1952-11-06 18:00:00,1952-11-09 06:00:00,1952-11-09 12:00:00,1952-11-15 12:00:00,1952-11-15 18:00:00,1952-11-17 00:00:00
1952,195222,CARMEN,1952-11-16 00:00:00,1952-11-17 00:00:00,1952-11-17 06:00:00,1952-11-22 06:00:00,1952-11-22 12:00:00,1952-11-25 12:00:00
1952,195223,DELLA,1952-11-20 12:00:00,1952-11-23 00:00:00,1952-11-23 06:00:00,1952-11-27 06:00:00,,
1952,195224,ELAINE,1952-12-04 00:00:00,1952-12-04 00:00:00,1952-12-04 06:00:00,1952-12-05 18:00:00,,
1952,195225,FAYE,1952-12-13 06:00:00,1952-12-16 18:00:00,1952-12-17 00:00:00,1952-12-20 00:00:00,,
1952,195226,GLORIA,1952-12-18 00:00:00,1952-12-18 00:00:00,1952-12-18 06:00:00,1952-12-24 12:00:00,,
1952,195227,HESTER,1952-12-27 18:00:00,1952-12-28 00:00:00,1952-12-28 06:00:00,1953-01-05 12:00:00,1953-01-05 18:00:00,1953-01-06 06:00:00
1953,195301,IRMA,1953-02-20 06:00:00,1953-02-20 06:00:00,1953-02-20 12:00:00,1953-02-25 12:00:00,1953-02-25 18:00:00,1953-02-26 00:00:00
1953,195302,JUDY,1953-05-29 00:00:00,1953-05-29 06:00:00,1953-05-29 12:00:00,1953-06-07 12:00:00,,
1953,195303,NO-NAME,1953-06-21 12:00:00,1953-06-24 00:00:00,1953-06-24 06:00:00,1953-06-25 18:00:00,1953-06-26 00:00:00,1953-07-03 00:00:00
1953,195304,KIT,1953-06-26 00:00:00,1953-06-26 06:00:00,1953-06-26 12:00:00,1953-07-07 00:00:00,1953-07-07 06:00:00,1953-07-08 00:00:00
1953,195305,LOLA,1953-07-27 06:00:00,1953-07-27 06:00:00,1953-07-27 12:00:00,1953-08-03 00:00:00,,
1953,195306,MAMIE,1953-07-31 18:00:00,1953-08-01 18:00:00,1953-08-02 00:00:00,1953-08-10 00:00:00,1953-08-10 06:00:00,1953-08-10 06:00:00
1953,195307,NINA,1953-08-07 06:00:00,1953-08-08 06:00:00,1953-08-08 12:00:00,1953-08-19 00:00:00,1953-08-19 06:00:00,1953-08-23 06:00:00
1953,195308,OPHELIA,1953-08-09 12:00:00,1953-08-12 00:00:00,1953-08-12 06:00:00,1953-08-16 12:00:00,,
1953,195309,PHYLLIS,1953-08-16 06:00:00,1953-08-18 18:00:00,1953-08-19 00:00:00,1953-08-22 06:00:00,1953-08-22 12:00:00,1953-08-25 12:00:00
1953,195310,RITA,1953-08-23 06:00:00,1953-08-24 06:00:00,1953-08-24 12:00:00,1953-09-03 12:00:00,1953-09-03 18:00:00,1953-09-03 18:00:00
1953,195311,NO-NAME,1953-08-23 06:00:00,1953-08-26 00:00:00,1953-08-26 06:00:00,1953-08-29 06:00:00,,
1953,195312,SUSAN,1953-09-13 18:00:00,1953-09-16 00:00:00,1953-09-16 06:00:00,1953-09-20 00:00:00,1953-09-20 06:00:00,1953-09-20 06:00:00
1953,195313,TESS,1953-09-16 12:00:00,1953-09-18 00:00:00,1953-09-18 06:00:00,1953-09-27 18:00:00,1953-09-28 00:00:00,1953-09-29 06:00:00
1953,195314,NO-NAME,1953-09-24 00:00:00,1953-09-26 12:00:00,1953-09-26 18:00:00,1953-09-30 12:00:00,,
1953,195315,NO-NAME,1953-09-27 12:00:00,1953-10-01 06:00:00,1953-10-01 12:00:00,1953-10-03 00:00:00,,
1953,195316,VIOLA,1953-10-01 18:00:00,1953-10-05 00:00:00,1953-10-05 06:00:00,1953-10-07 18:00:00,1953-10-08 00:00:00,1953-10-10 18:00:00
1953,195317,WINNIE,1953-10-07 06:00:00,1953-10-07 06:00:00,1953-10-07 12:00:00,1953-10-09 12:00:00,1953-10-09 18:00:00,1953-10-11 12:00:00
1953,195318,ALICE,1953-10-11 12:00:00,1953-10-14 00:00:00,1953-10-14 06:00:00,1953-10-23 00:00:00,,
1953,195319,BETTY,1953-10-26 06:00:00,1953-10-28 00:00:00,1953-10-28 06:00:00,1953-11-02 12:00:00,,
1953,195320,CORA,1953-11-10 18:00:00,1953-11-13 12:00:00,1953-11-13 18:00:00,1953-11-19 18:00:00,1953-11-20 00:00:00,1953-11-20 12:00:00
1953,195321,NO-NAME,1953-11-22 06:00:00,1953-11-25 00:00:00,1953-11-25 06:00:00,1953-11-28 06:00:00,,
1953,195322,NO-NAME,1953-11-27 18:00:00,1953-11-30 06:00:00,1953-11-30 12:00:00,1953-12-01 18:00:00,1953-12-02 00:00:00,1953-12-05 00:00:00
1953,195323,DORIS,1953-12-10 00:00:00,1953-12-11 06:00:00,1953-12-11 12:00:00,1953-12-22 00:00:00,1953-12-22 06:00:00,1953-12-23 18:00:00
1954,195401,NO-NAME,1954-03-01 06:00:00,1954-03-02 00:00:00,1954-03-02 06:00:00,1954-03-05 00:00:00,1954-03-05 06:00:00,1954-03-06 06:00:00
1955,195501,VIOLET,1955-01-02 06:00:00,1955-01-02 06:00:00,1955-01-02 12:00:00,1955-01-06 06:00:00,,
1955,195502,NO-NAME,1955-02-24 00:00:00,1955-02-24 06:00:00,1955-02-24 12:00:00,1955-02-28 18:00:00,,
1955,195503,WILDA,1955-03-21 06:00:00,1955-03-22 12:00:00,1955-03-22 18:00:00,1955-03-29 12:00:00,1955-03-29 18:00:00,1955-03-30 18:00:00
1955,195504,ANITA,1955-04-17 00:00:00,1955-04-17 00:00:00,1955-04-17 06:00:00,1955-04-27 06:00:00,1955-04-27 12:00:00,1955-04-30 00:00:00
1955,195505,BILLIE,1955-06-02 18:00:00,1955-06-02 18:00:00,1955-06-03 00:00:00,1955-06-06 00:00:00,1955-06-06 06:00:00,1955-06-07 00:00:00
1955,195506,NO-NAME,1955-06-23 18:00:00,1955-06-25 00:00:00,1955-06-25 06:00:00,1955-06-27 12:00:00,1955-06-27 18:00:00,1955-06-28 00:00:00
1955,195507,CLARA,1955-07-05 00:00:00,1955-07-07 06:00:00,1955-07-07 12:00:00,1955-07-16 18:00:00,1955-07-17 00:00:00,1955-07-17 18:00:00
1955,195508,DOT,1955-07-12 18:00:00,1955-07-14 06:00:00,1955-07-14 12:00:00,1955-07-16 18:00:00,1955-07-17 00:00:00,1955-07-17 00:00:00
1955,195509,ELLEN,1955-07-15 06:00:00,1955-07-16 00:00:00,1955-07-16 06:00:00,1955-07-24 18:00:00,1955-07-25 00:00:00,1955-07-27 12:00:00
1955,195510,NO-NAME,1955-07-17 00:00:00,1955-07-18 12:00:00,1955-07-18 18:00:00,1955-07-22 12:00:00,1955-07-22 18:00:00,1955-07-23 12:00:00
1955,195511,FRAN,1955-07-18 18:00:00,1955-07-18 18:00:00,1955-07-19 00:00:00,1955-07-22 12:00:00,1955-07-22 18:00:00,1955-07-24 12:00:00
1955,195512,NO-NAME,1955-07-22 00:00:00,1955-07-22 00:00:00,1955-07-22 06:00:00,1955-07-23 00:00:00,1955-07-23 06:00:00,1955-07-24 00:00:00
1955,195513,GEORGIA,1955-07-23 06:00:00,1955-07-23 06:00:00,1955-07-23 12:00:00,1955-07-29 12:00:00,,
1955,195514,HOPE,1955-08-02 18:00:00,1955-08-03 00:00:00,1955-08-03 06:00:00,1955-08-16 00:00:00,1955-08-16 06:00:00,1955-08-20 06:00:00
1955,195515,NO-NAME,1955-08-02 00:00:00,1955-08-05 06:00:00,1955-08-05 12:00:00,1955-08-06 18:00:00,1955-08-07 00:00:00,1955-08-07 00:00:00
1955,195516,NO-NAME,1955-08-07 00:00:00,1955-08-10 06:00:00,1955-08-10 12:00:00,1955-08-16 18:00:00,,
1955,195517,NO-NAME,1955-08-10 00:00:00,1955-08-10 06:00:00,1955-08-10 12:00:00,1955-08-12 00:00:00,,
1955,195518,NO-NAME,1955-08-07 18:00:00,1955-08-10 18:00:00,1955-08-11 00:00:00,1955-08-12 00:00:00,,
1955,195519,IRIS,1955-08-19 18:00:00,1955-08-22 00:00:00,1955-08-22 06:00:00,1955-08-25 00:00:00,1955-08-25 06:00:00,1955-08-26 00:00:00
1955,195520,JOAN,1955-08-29 06:00:00,1955-09-01 00:00:00,1955-09-01 06:00:00,1955-09-04 06:00:00,1955-09-04 12:00:00,1955-09-08 18:00:00
1955,195521,KATE,1955-09-18 06:00:00,1955-09-18 12:00:00,1955-09-18 18:00:00,1955-09-26 12:00:00,,
1955,195522,LOUISE,1955-09-20 00:00:00,1955-09-21 06:00:00,1955-09-21 12:00:00,1955-09-30 18:00:00,1955-10-01 00:00:00,1955-10-02 12:00:00
1955,195523,MARGE,1955-09-27 12:00:00,1955-09-27 18:00:00,1955-09-28 00:00:00,1955-10-04 06:00:00,1955-10-04 12:00:00,1955-10-05 00:00:00
1955,195524,NO-NAME,1955-10-01 18:00:00,1955-10-03 06:00:00,1955-10-03 12:00:00,1955-10-04 18:00:00,1955-10-05 00:00:00,1955-10-07 00:00:00
1955,195525,NORA,1955-10-07 00:00:00,1955-10-07 00:00:00,1955-10-07 06:00:00,1955-10-13 18:00:00,,
1955,195526,OPAL,1955-10-15 18:00:00,1955-10-17 06:00:00,1955-10-17 12:00:00,1955-10-21 00:00:00,1955-10-21 06:00:00,1955-10-23 12:00:00
1955,195527,PATSY,1955-11-25 06:00:00,1955-11-28 06:00:00,1955-11-28 12:00:00,1955-12-03 12:00:00,1955-12-03 18:00:00,1955-12-04 00:00:00
1955,195528,RUTH,1955-12-12 00:00:00,1955-12-12 06:00:00,1955-12-12 12:00:00,1955-12-18 00:00:00,,
1956,195601,SARAH,1956-03-23 06:00:00,1956-03-23 06:00:00,1956-03-23 12:00:00,1956-04-03 12:00:00,1956-04-03 18:00:00,1956-04-03 18:00:00
1956,195602,NO-NAME,1956-04-11 06:00:00,1956-04-12 18:00:00,1956-04-13 00:00:00,1956-04-13 18:00:00,1956-04-14 00:00:00,1956-04-14 18:00:00
1956,195603,THELMA,1956-04-16 00:00:00,1956-04-16 06:00:00,1956-04-16 12:00:00,1956-04-25 00:00:00,,
1956,195604,NO-NAME,1956-06-16 00:00:00,1956-06-18 06:00:00,1956-06-18 12:00:00,1956-06-20 00:00:00,1956-06-20 06:00:00,1956-06-21 00:00:00
1956,195605,VERA,1956-07-05 00:00:00,1956-07-07 00:00:00,1956-07-07 06:00:00,1956-07-09 00:00:00,,
1956,195606,WANDA,1956-07-25 00:00:00,1956-07-27 00:00:00,1956-07-27 06:00:00,1956-08-04 00:00:00,,
1956,195607,AMY,1956-08-02 06:00:00,1956-08-03 00:00:00,1956-08-03 06:00:00,1956-08-05 00:00:00,1956-08-05 06:00:00,1956-08-06 00:00:00
1956,195608,NO-NAME,1956-08-07 06:00:00,1956-08-09 06:00:00,1956-08-09 12:00:00,1956-08-10 00:00:00,,
1956,195609,BABS,1956-08-10 06:00:00,1956-08-12 06:00:00,1956-08-12 12:00:00,1956-08-18 18:00:00,1956-08-19 00:00:00,1956-08-19 18:00:00
1956,195610,CHARLOTTE,1956-08-25 00:00:00,1956-08-27 00:00:00,1956-08-27 06:00:00,1956-09-01 12:00:00,1956-09-01 18:00:00,1956-09-02 00:00:00
1956,195611,DINAH,1956-08-30 18:00:00,1956-08-31 00:00:00,1956-08-31 06:00:00,1956-09-06 06:00:00,1956-09-06 12:00:00,1956-09-06 12:00:00
1956,195612,EMMA,1956-09-01 00:00:00,1956-09-03 00:00:00,1956-09-03 06:00:00,1956-09-11 00:00:00,,
1956,195613,FREDA,1956-09-13 00:00:00,1956-09-14 00:00:00,1956-09-14 06:00:00,1956-09-19 12:00:00,1956-09-19 18:00:00,1956-09-25 18:00:00
1956,195614,GILDA,1956-09-18 00:00:00,1956-09-18 00:00:00,1956-09-18 06:00:00,1956-09-23 18:00:00,,
1956,195615,HARRIET,1956-09-19 00:00:00,1956-09-22 06:00:00,1956-09-22 12:00:00,1956-09-28 06:00:00,1956-09-28 12:00:00,1956-09-29 00:00:00
1956,195616,NO-NAME,1956-09-22 18:00:00,1956-09-24 00:00:00,1956-09-24 06:00:00,1956-09-25 00:00:00,,
1956,195617,IVY,1956-09-26 00:00:00,1956-09-26 00:00:00,1956-09-26 06:00:00,1956-09-27 12:00:00,,
1956,195618,JEAN,1956-10-15 00:00:00,1956-10-16 00:00:00,1956-10-16 06:00:00,1956-10-25 06:00:00,,
1956,195619,KAREN/LUCILLE,1956-11-09 06:00:00,1956-11-11 12:00:00,1956-11-11 18:00:00,1956-11-20 18:00:00,1956-11-21 00:00:00,1956-11-22 18:00:00
1956,195620,MARY,1956-11-16 00:00:00,1956-11-16 00:00:00,1956-11-16 06:00:00,1956-11-16 12:00:00,,
1956,195621,NADINE,1956-11-23 18:00:00,1956-11-24 06:00:00,1956-11-24 12:00:00,1956-11-25 18:00:00,,
1956,195622,OLIVE,1956-11-26 00:00:00,1956-11-26 06:00:00,1956-11-26 12:00:00,1956-11-30 00:00:00,,
1956,195623,POLLY,1956-12-07 06:00:00,1956-12-08 12:00:00,1956-12-08 18:00:00,1956-12-10 12:00:00,,
1957,195701,NO-NAME,1957-01-03 00:00:00,1957-01-03 06:00:00,1957-01-03 12:00:00,1957-01-06 06:00:00,1957-01-06 12:00:00,1957-01-07 00:00:00
1957,195702,ROSE,1957-01-21 06:00:00,1957-01-22 00:00:00,1957-01-22 06:00:00,1957-01-27 06:00:00,1957-01-27 12:00:00,1957-01-30 12:00:00
1957,195703,SHIRLEY,1957-04-11 06:00:00,1957-04-12 00:00:00,1957-04-12 06:00:00,1957-04-17 00:00:00,1957-04-17 06:00:00,1957-04-18 06:00:00
1957,195704,TRIX,1957-05-02 06:00:00,1957-05-02 06:00:00,1957-05-02 12:00:00,1957-05-16 00:00:00,1957-05-16 06:00:00,1957-05-16 06:00:00
1957,195705,VIRGINIA,1957-06-18 06:00:00,1957-06-19 00:00:00,1957-06-19 06:00:00,1957-06-27 00:00:00,,
1957,195706,WENDY,1957-07-10 18:00:00,1957-07-12 18:00:00,1957-07-13 00:00:00,1957-07-17 06:00:00,1957-07-17 12:00:00,1957-07-18 00:00:00
1957,195707,AGNES,1957-08-11 12:00:00,1957-08-13 12:00:00,1957-08-13 18:00:00,1957-08-22 06:00:00,1957-08-22 12:00:00,1957-08-24 12:00:00
1957,195708,NO-NAME,1957-08-13 18:00:00,1957-08-16 06:00:00,1957-08-16 12:00:00,1957-08-20 00:00:00,1957-08-20 06:00:00,1957-08-23 00:00:00
1957,195709,NO-NAME,1957-08-22 18:00:00,1957-08-23 00:00:00,1957-08-23 06:00:00,1957-08-23 18:00:00,1957-08-24 00:00:00,1957-08-27 12:00:00
1957,195710,BESS,1957-08-26 06:00:00,1957-08-28 00:00:00,1957-08-28 06:00:00,1957-09-07 18:00:00,1957-09-08 00:00:00,1957-09-10 06:00:00
1957,195711,CARMEN,1957-09-06 18:00:00,1957-09-09 06:00:00,1957-09-09 12:00:00,1957-09-15 18:00:00,1957-09-16 00:00:00,1957-09-16 00:00:00
